Iteration,Set,Data,Exec_time,Tree_height,Tree_type,Avg exec time
0,1,1,0.464835,155,bst,0.452191
0,1,2,5.323132,298,bst,5.809359
0,1,3,54.210994,496,bst,51.346669
0,2,1,0.0,496,bst,0.000634
0,2,2,0.015625,496,bst,0.015286
0,2,3,0.153245,496,bst,0.143766
1,1,1,0.458344,155,bst,0.452191
1,1,2,5.890919,298,bst,5.809359
1,1,3,50.310377,496,bst,51.346669
1,2,1,0.001902,496,bst,0.000634
1,2,2,0.014608,496,bst,0.015286
1,2,3,0.137423,496,bst,0.143766
2,1,1,0.433395,155,bst,0.452191
2,1,2,6.214025,298,bst,5.809359
2,1,3,49.518635,496,bst,51.346669
2,2,1,0.0,496,bst,0.000634
2,2,2,0.015625,496,bst,0.015286
2,2,3,0.14063,496,bst,0.143766
