Iteration,Set,Data,Exec_time,Tree_height,Tree_type,Avg exec time
0,1,1,0.0,17,rbt,0.000000
0,1,2,0.0,17,rbt,0.000048
0,1,3,0.015625,17,rbt,0.007713
0,2,1,0.0,17,rbt,0.000000
0,2,2,0.0,17,rbt,0.001409
0,2,3,0.013039,17,rbt,0.007275
1,1,1,0.0,17,rbt,0.000000
1,1,2,0.0,17,rbt,0.000048
1,1,3,0.0,17,rbt,0.007713
1,2,1,0.0,17,rbt,0.000000
1,2,2,0.0,17,rbt,0.001409
1,2,3,0.00056,17,rbt,0.007275
2,1,1,0.0,17,rbt,0.000000
2,1,2,0.000145,17,rbt,0.000048
2,1,3,0.007515,17,rbt,0.007713
2,2,1,0.0,17,rbt,0.000000
2,2,2,0.004228,17,rbt,0.001409
2,2,3,0.008227,17,rbt,0.007275
