Iteration,Set,Data,Exec_time,Tree_height,Tree_type,Avg exec time
0,1,1,0.0,38,st,0.000000
0,1,2,0.004049,36,st,0.007968
0,1,3,0.038812,41,st,0.036772
0,2,1,0.0,54,st,0.000333
0,2,2,0.002831,52,st,0.005118
0,2,3,0.024174,33,st,0.023999
1,1,1,0.0,38,st,0.000000
1,1,2,0.004231,36,st,0.007968
1,1,3,0.029835,41,st,0.036772
1,2,1,0.000998,54,st,0.000333
1,2,2,0.012524,52,st,0.005118
1,2,3,0.016587,33,st,0.023999
2,1,1,0.0,38,st,0.000000
2,1,2,0.015625,36,st,0.007968
2,1,3,0.041668,41,st,0.036772
2,2,1,0.0,54,st,0.000333
2,2,2,0.0,52,st,0.005118
2,2,3,0.031236,33,st,0.023999
