Iteration,Set,Data,Exec time,Tree height,Tree type,Avg exec time
0,1,1,0.0,11,bst,0.000000
0,1,2,0.0,18,bst,0.001977
0,1,3,0.026868,26,bst,0.028896
0,2,1,0.0,26,bst,0.000000
0,2,2,0.000991,26,bst,0.000855
0,2,3,0.010994,26,bst,0.012334
1,1,1,0.0,11,bst,0.000000
1,1,2,0.004306,18,bst,0.001977
1,1,3,0.03336,26,bst,0.028896
1,2,1,0.0,26,bst,0.000000
1,2,2,0.000874,26,bst,0.000855
1,2,3,0.011596,26,bst,0.012334
2,1,1,0.0,11,bst,0.000000
2,1,2,0.001626,18,bst,0.001977
2,1,3,0.02646,26,bst,0.028896
2,2,1,0.0,26,bst,0.000000
2,2,2,0.000701,26,bst,0.000855
2,2,3,0.014413,26,bst,0.012334
