Iteration,Set,Data,Exec_time,Tree_height,Tree_type,Avg exec time
0,1,1,0.0,8,rbt,0.000000
0,1,2,0.0,11,rbt,0.001179
0,1,3,0.013638,16,rbt,0.014687
0,2,1,0.0,16,rbt,0.000183
0,2,2,0.003124,16,rbt,0.002072
0,2,3,0.013303,16,rbt,0.012567
1,1,1,0.0,8,rbt,0.000000
1,1,2,0.00214,11,rbt,0.001179
1,1,3,0.016435,16,rbt,0.014687
1,2,1,0.000549,16,rbt,0.000183
1,2,2,0.001092,16,rbt,0.002072
1,2,3,0.012071,16,rbt,0.012567
2,1,1,0.0,8,rbt,0.000000
2,1,2,0.001397,11,rbt,0.001179
2,1,3,0.013987,16,rbt,0.014687
2,2,1,0.0,16,rbt,0.000183
2,2,2,0.002,16,rbt,0.002072
2,2,3,0.012327,16,rbt,0.012567
