Iteration,Set,Data,Exec_time,Tree_height,Tree_type,Avg exec time
0,1,1,0.0,14,st,0.000335
0,1,2,0.0,19,st,0.002544
0,1,3,0.109293,32,st,0.076247
0,2,1,0.0,33,st,0.000548
0,2,2,0.0,28,st,0.001350
0,2,3,0.015625,34,st,0.027856
1,1,1,0.0,14,st,0.000335
1,1,2,0.0,19,st,0.002544
1,1,3,0.065208,32,st,0.076247
1,2,1,0.001644,33,st,0.000548
1,2,2,0.00405,28,st,0.001350
1,2,3,0.032257,34,st,0.027856
2,1,1,0.001004,14,st,0.000335
2,1,2,0.007633,19,st,0.002544
2,1,3,0.05424,32,st,0.076247
2,2,1,0.0,33,st,0.000548
2,2,2,0.0,28,st,0.001350
2,2,3,0.035685,34,st,0.027856
