Iteration,Set,Data,Exec_time,Tree_height,Tree_type,Avg exec time
0,1,1,0.0,17,rbt,0.000000
0,1,2,0.0,17,rbt,0.002189
0,1,3,0.01565,17,rbt,0.011805
0,2,1,0.0,17,rbt,0.000000
0,2,2,0.004066,17,rbt,0.001355
0,2,3,0.012481,17,rbt,0.006253
1,1,1,0.0,17,rbt,0.000000
1,1,2,0.006568,17,rbt,0.002189
1,1,3,0.004134,17,rbt,0.011805
1,2,1,0.0,17,rbt,0.000000
1,2,2,0.0,17,rbt,0.001355
1,2,3,0.002161,17,rbt,0.006253
2,1,1,0.0,17,rbt,0.000000
2,1,2,0.0,17,rbt,0.002189
2,1,3,0.01563,17,rbt,0.011805
2,2,1,0.0,17,rbt,0.000000
2,2,2,0.0,17,rbt,0.001355
2,2,3,0.004116,17,rbt,0.006253
