Iteration,Set,Data,Exec_time,Tree_height,Tree_type,Avg exec time
0,1,1,0.0,29,st,0.000100
0,1,2,0.0,33,st,0.005544
0,1,3,0.025147,30,st,0.027145
0,2,1,0.0,35,st,0.000000
0,2,2,0.001997,31,st,0.002483
0,2,3,0.010861,33,st,0.011517
1,1,1,0.0,29,st,0.000100
1,1,2,0.008328,33,st,0.005544
1,1,3,0.031311,30,st,0.027145
1,2,1,0.0,35,st,0.000000
1,2,2,0.003273,31,st,0.002483
1,2,3,0.012529,33,st,0.011517
2,1,1,0.000299,29,st,0.000100
2,1,2,0.008303,33,st,0.005544
2,1,3,0.024976,30,st,0.027145
2,2,1,0.0,35,st,0.000000
2,2,2,0.00218,31,st,0.002483
2,2,3,0.011162,33,st,0.011517
